2025-11-05 15:14:50 | INFO | src.data_preparation.main | Loading cleaned dataset
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Loading cleaned dataset from /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_prepare_writes_splits_and0/data/dataset_cleaned.parquet
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Dataset shape: 120 rows, 5 columns
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Splitting dataset into train/test
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Shuffling dataset with random_state=42
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Split completed: train=96 rows, test=24 rows
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Data preparation metrics stored at /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_prepare_writes_splits_and0/results/data_preparation/data_preparation_metrics.csv and /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_prepare_writes_splits_and0/results/data_preparation/data_preparation_metrics.json
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Train rows: 96
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Test rows: 24
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Saving dataset splits
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Grouping categories rarer than 0.05 in column 'country'
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Saving encoders mappings to /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_prepare_writes_splits_and0/data/encoders_mappings.json
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Saving dataset splits to /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_prepare_writes_splits_and0/data/splits.parquet and /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_prepare_writes_splits_and0/data/splits.csv
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Loading cleaned dataset
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Loading cleaned dataset from /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_training_writes_model0/data/dataset_cleaned.parquet
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Dataset shape: 120 rows, 5 columns
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Splitting dataset into train/test
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Shuffling dataset with random_state=42
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Split completed: train=96 rows, test=24 rows
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Data preparation metrics stored at /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_training_writes_model0/results/data_preparation/data_preparation_metrics.csv and /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_training_writes_model0/results/data_preparation/data_preparation_metrics.json
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Train rows: 96
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Test rows: 24
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Saving dataset splits
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Grouping categories rarer than 0.05 in column 'country'
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Saving encoders mappings to /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_training_writes_model0/data/encoders_mappings.json
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Saving dataset splits to /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_training_writes_model0/data/splits.parquet and /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_training_writes_model0/data/splits.csv
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Loading cleaned dataset
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Loading cleaned dataset from /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_evaluation_writes_artifac0/data/dataset_cleaned.parquet
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Dataset shape: 120 rows, 5 columns
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Splitting dataset into train/test
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Shuffling dataset with random_state=42
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Split completed: train=96 rows, test=24 rows
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Data preparation metrics stored at /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_evaluation_writes_artifac0/results/data_preparation/data_preparation_metrics.csv and /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_evaluation_writes_artifac0/results/data_preparation/data_preparation_metrics.json
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Train rows: 96
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Test rows: 24
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Saving dataset splits
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Grouping categories rarer than 0.05 in column 'country'
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Saving encoders mappings to /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_evaluation_writes_artifac0/data/encoders_mappings.json
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Saving dataset splits to /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_evaluation_writes_artifac0/data/splits.parquet and /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_evaluation_writes_artifac0/data/splits.csv
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Loading cleaned dataset
2025-11-05 15:14:50 | INFO | src.data_preparation.data_preparation | Loading cleaned dataset from /private/var/folders/65/hx23vh515nnfb35ysjpxbn540000gn/T/pytest-of-steven/pytest-25/test_ridge_baseline_pipeline_w0/data/dataset_cleaned.parquet
2025-11-05 15:14:50 | INFO | src.data_preparation.main | Dataset shape: 120 rows, 5 columns
